name,hash,cityofberkeley_amount,ucberkeley_amount,both_amount,committee_name
finance/Democrat/Robin Peguero,46cdd62,950.0,81.0,0.0,ROBIN PEGUERO FOR CONGRESS
finance/Democrat/Nancy Pelosi,d7a2ecb,2602.5,0.0,150.0,NANCY PELOSI FOR CONGRESS
finance/Democrat/Mary Peltola,e1f6547,61803.44,5000.0,500.0,ALASKANS FOR MARY
finance/Democrat/Thomas Perriello,e2a3706,52370.0,0.0,0.0,TOM PERRIELLO FOR CONGRESS
finance/Democrat/Robert James Peters,860210b,362.0,0.0,0.0,ROBERT PETERS FOR CONGRESS
finance/Democrat/Brittany Louise Pettersen,e1c32a2,1000.0,0.0,0.0,BRITTANY PETTERSEN FOR COLORADO
finance/Democrat/Effie Phillips-Staley,728ffe1,500.0,0.0,0.0,EFFIE FOR CONGRESS
finance/Democrat/Graham Platner,fb637e8,31932.0,1150.0,647.0,GRAHAM FOR MAINE
finance/Democrat/Brian Poindexter,e458a03,3500.0,0.0,0.0,POINDEXTER FOR CONGRESS
finance/Democrat/Nelida Pou,7ec3544,834.0,250.0,0.0,NELLIE POU FOR CONGRESS
finance/Democrat/Denise Powell,19c85c1,19032.95,833.33,0.0,DENISE POWELL FOR CONGRESS
finance/Democrat/Ayanna Pressley,62d9b98,2195.03,0.0,180.0,THE COMMITTEE TO ELECT AYANNA PRESSLEY
finance/Democrat/Mike Pruitt,7390c16,3750.0,0.0,0.0,MIKE PRUITT FOR CONGRESS
finance/Democrat/Bobby Pulido,23f4d0f,11995.46,833.33,0.0,BOBBY PULIDO FOR TEXAS
finance/Democrat/Christopher M. Rabb,ddd86e3,3100.0,0.0,1100.0,RABB FOR CONGRESS
finance/Democrat/Matthew Rains,639ca02,700.0,0.0,0.0,MATT RAINS FOR MONTANA
finance/Democrat/Delia Ramirez,d825670,1250.0,0.0,120.0,UNITED WITH DELIA FOR CONGRESS
finance/Democrat/Lisa D Ramirez,a88b5ad,500.0,0.0,0.0,LISA D RAMIREZ FOR CONGRESS
finance/Democrat/Jamie Raskin,2c1d860,10133.0,0.0,226.0,JAMIE RASKIN FOR CONGRESS
finance/Democrat/John F. Reed,9c27e5a,7000.0,0.0,0.0,THE REED COMMITTEE
finance/Democrat/Crystal Rhoades,5f339ce,466.0,0.0,0.0,CRYSTAL FOR CONGRESS
finance/Democrat/Brandon Riker,0fe9bf7,2578.0,0.0,0.0,RIKER FOR CONGRESS
finance/Democrat/Josh Riley,b0a50dc,2500.0,250.0,7000.0,JOSH RILEY FOR CONGRESS
finance/Democrat/Patrick Thomas Roath,d7b723d,250.0,0.0,0.0,FRIENDS OF PATRICK ROATH
finance/Democrat/Dwayne Romero,d77ec0a,0.0,5500.0,0.0,ROMERO FOR COLORADO
finance/Democrat/Jacky Rosen,c0dfb97,2400.0,0.0,0.0,ROSEN FOR NEVADA
finance/Democrat/Caitlin Mcclay Rourk,103d9b8,3950.0,0.0,0.0,CAITLIN ROURK FOR CONGRESS
finance/Democrat/Aaron B Rowden,1640d41,25.0,0.0,0.0,ROWDEN FOR CONGRESS
finance/Democrat/Dr. Raul Ruiz,6a63cd9,220.0,0.0,0.0,DR. RAUL RUIZ FOR CONGRESS
finance/Democrat/Manny Rutinel,a4829c5,105225.0,4333.33,0.0,MANNY RUTINEL FOR CONGRESS
finance/Democrat/Patrick Ryan,808216a,15000.0,0.0,0.0,PAT RYAN FOR CONGRESS
finance/Democrat/Robb Ryerse,9ab8785,46.0,0.0,0.0,ROBB FOR CONGRESS
finance/Democrat/Nathan Sage,1421eae,7500.0,0.0,0.0,SAGE FOR SENATE
finance/Democrat/Andrea Salinas,6aa9dc5,360.0,36.0,0.0,ANDREA SALINAS FOR OREGON
finance/Democrat/Mary Gay Scanlon,0e2d8e9,500.0,0.0,0.0,SCANLON FOR CONGRESS
finance/Democrat/Brian Schatz,d2c9685,21000.0,0.0,0.0,SCHATZ FOR SENATE
finance/Democrat/Adam Schiff,544a0c1,17580.5,0.0,0.0,SCHIFF FOR SENATE
finance/Democrat/John (Jack) Bouvier Kenne Schlossberg,d714b6c,500.0,0.0,0.0,JACK FOR NEW YORK
finance/Democrat/Patrick Schmidt,ef4c7f9,250.0,0.0,0.0,PATRICK SCHMIDT FOR SENATE
finance/Democrat/Hillary Scholten,5327269,1000.0,0.0,0.0,SCHOLTEN FOR CONGRESS
finance/Democrat/Dr. Kim Schrier,9c02747,1250.0,1035.25,0.0,DR KIM SCHRIER FOR CONGRESS
finance/Democrat/Matthew Damian Schultz,718913a,650.0,0.0,0.0,MATT SCHULTZ FOR ALASKA
finance/Democrat/Charles E. Schumer,88a0871,1203.0,55.0,0.0,FRIENDS OF SCHUMER
finance/Democrat/Nina Schwalbe,7245740,800.0,0.0,0.0,FRIENDS OF NINA SCHWALBE
finance/Democrat/Daniel Schwartz,de77cb3,0.0,500.0,0.0,DAN SCHWARTZ FOR CONGRESS
finance/Democrat/Mo Seifeldein,940ba79,3500.0,0.0,0.0,MO FOR CONGRESS
finance/Democrat/Squire Servance,11459de,300.0,0.0,0.0,SERVANCE FOR CONGRESS INC.
finance/Democrat/Dr. Amish Shah,f9f0485,12500.0,0.0,0.0,AMISH FOR ARIZONA
finance/Democrat/Hallie Shoffner,5f04026,750.0,0.0,0.0,HALLIE SHOFFNER FOR ARKANSAS
finance/Democrat/Reed Showalter,b77e38d,0.0,250.0,0.0,REED SHOWALTER FOR CONGRESS
finance/Democrat/Mike Simmons,8537eeb,100.0,500.0,0.0,MIKE SIMMONS FOR CONGRESS
finance/Democrat/Lateefah Simon,90b7300,54065.0,250.0,0.0,LATEEFAH FOR CONGRESS
finance/Democrat/Lucia Dora Simonelli,c6fc58e,3500.0,0.0,0.0,FRIENDS OF LUCIA
finance/Democrat/Elissa Slotkin,f5e0b2a,3672.5,0.0,0.0,ELISSA SLOTKIN FOR MICHIGAN
finance/Democrat/Eric Sorensen,01656d6,500.0,0.0,0.0,ERIC SORENSEN FOR ILLINOIS
finance/Democrat/Melanie Stansbury,042d21f,1365.0,0.0,0.0,MELANIE FOR NEW MEXICO
finance/Democrat/Janelle Stelson,61f98df,34554.62,300.0,500.0,FRIENDS OF JANELLE STELSON
finance/Democrat/Haley Stevens,6f5efd9,6575.0,2000.0,0.0,HALEY STEVENS FOR SENATE
finance/Democrat/Adele Stichel,d4862d7,250.0,0.0,0.0,ADELE FOR CONGRESS
finance/Democrat/Juliana Stratton,bfcfaf3,6085.0,0.0,0.0,JULIANA FOR ILLINOIS
finance/Democrat/Marilyn Strickland,d8b1de4,2500.0,0.0,0.0,STRICKLAND FOR WASHINGTON
finance/Democrat/Suhas Subramanyam,48f0f78,1000.0,0.0,0.0,SUHAS FOR VIRGINIA
finance/Democrat/Maura Corby Sullivan,0806e7f,1250.0,0.0,0.0,MAURA SULLIVAN FOR CONGRESS
finance/Democrat/Thomas Suozzi,4a77a04,7071.43,0.0,0.0,SUOZZI FOR CONGRESS
finance/Democrat/Eric Michael Swalwell,9e8604f,1557.5,0.0,100.0,SWALWELL FOR CONGRESS
finance/Democrat/Jessica Swartz,d15657b,250.0,0.0,0.0,JESSICA FOR MICHIGAN
finance/Democrat/Emilia Sykes,f3e4550,4428.57,0.0,0.0,EMILIA SYKES FOR CONGRESS
finance/Democrat/Mark Takano,bbdae45,510.0,0.0,0.0,MARK TAKANO FOR CONGRESS
finance/Democrat/James Talarico,647dc7c,74635.12,250.0,1000.0,TALARICO FOR TEXAS
finance/Democrat/Shannon Leigh Taylor,a8abf84,8325.0,0.0,0.0,SHANNON TAYLOR FOR VA
finance/Democrat/Shri Thanedar,2a2dc20,500.0,0.0,0.0,SHRI FOR CONGRESS
finance/Democrat/Mr. Mike Thompson,6e13246,5260.5,0.0,0.0,MIKE THOMPSON FOR CONGRESS
finance/Democrat/Rashida Tlaib,18c187c,4505.77,0.0,420.0,RASHIDA TLAIB FOR CONGRESS
finance/Democrat/Ritchie John Torres,934d14c,350.0,0.0,0.0,TORRES FOR CONGRESS
finance/Democrat/Derek Tran,6cab15f,18201.41,0.0,3500.0,DEREK TRAN FOR CONGRESS
finance/Democrat/Jonathan Treble,0af1e71,2250.0,0.0,0.0,TREBLE FOR ARIZONA
finance/Democrat/Sarah Trone Garriott,681ed0e,33463.99,299.62,0.0,SARAH FOR IOWA
finance/Democrat/Dan Tully,5bfa77f,175.0,0.0,0.0,DAN TULLY FOR CONGRESS
finance/Democrat/Joshua Turek,40f2e0f,20740.83,2500.0,750.0,JOSH TUREK FOR IOWA
finance/Democrat/Evan Turnage,f339a8e,250.0,0.0,0.0,TURNAGE FOR CONGRESS
finance/Democrat/Clinton Gene Twedt-Ball,a74ada2,550.0,0.0,0.0,CLINT FOR IOWA
finance/Democrat/Lauren Underwood,ee593f8,950.0,1500.0,0.0,LAUREN UNDERWOOD FOR CONGRESS
finance/Democrat/Christian Urrutia,1a7a800,800.0,0.0,0.0,URRUTIA FOR NH
finance/Democrat/Claire Valdez,6f25b6d,4850.0,0.0,200.0,CLAIRE VALDEZ FOR CONGRESS
finance/Democrat/Chris Van Hollen,459afc8,3500.0,0.0,0.0,VAN HOLLEN FOR SENATE
finance/Democrat/Tyler Isaac Vandenberg,2fd8b15,1500.0,0.0,0.0,TYLER VANDENBERG FOR US CONGRESS
finance/Democrat/Mai Vang,f86b47d,3660.0,0.0,0.0,MAI VANG FOR CONGRESS
finance/Democrat/Esther Kim Varet,5ce8e59,1950.0,0.0,0.0,ESTHER KIM VARET FOR CONGRESS
finance/Democrat/Gabriel Vasquez,d6040cc,11750.0,250.0,0.0,GABE VASQUEZ FOR CONGRESS
finance/Democrat/Jose David Vega,39488c5,1030.48,0.0,0.0,VEGA FOR CONGRESS
finance/Democrat/Randy Villegas,8927f02,66061.64,2448.33,2000.0,VILLEGAS FOR CONGRESS
finance/Democrat/Alexander Vindman,9073f7c,11575.0,100.0,0.0,ALEX VINDMAN FOR FLORIDA
finance/Democrat/Yevgeny 'Eugene' Vindman,8e68fc3,6082.5,0.0,0.0,VINDMAN FOR CONGRESS
finance/Democrat/Marni Von Wilpert,d92f86f,6526.8,250.0,0.0,MARNI VON WILPERT FOR CONGRESS
finance/Democrat/Aisha Wahab,9901150,2150.0,0.0,0.0,DR. AISHA WAHAB FOR CONGRESS
finance/Democrat/Zach P Wahls,f201c15,80325.0,0.0,0.0,BUILD THE BARN PAC
finance/Democrat/James Walkinshaw,a52c553,875.0,0.0,0.0,WALKINSHAW FOR CONGRESS
finance/Democrat/Rachel Wallace,0b051b1,0.0,1000.0,0.0,WALLACE FOR CONGRESS
finance/Democrat/Mr. Samuel S.-H. Wang,e6c342d,0.0,7350.0,2250.0,SAM WANG FOR CONGRESS
finance/Democrat/Mark Robert Warner,20317ff,37565.0,0.0,0.0,FRIENDS OF MARK WARNER
finance/Democrat/Raphael Warnock,6306bfb,1942.47,33.32,0.0,WARNOCK FOR GEORGIA
finance/Democrat/Elizabeth Warren,faaae94,6693.0,550.0,0.0,"WARREN FOR SENATE, INC."
finance/Democrat/Peter Welch,668f552,100.0,0.0,0.0,WELCH FOR VERMONT
finance/Democrat/Frederick Paul Wellman,adccec7,2600.0,0.0,0.0,WELLMAN FOR MISSOURI
finance/Democrat/Taylor Wettach,2041680,0.0,300.0,0.0,TAYLOR WETTACH FOR CONGRESS
finance/Democrat/Pierre Whatley,6ee3aa5,1000.0,0.0,0.0,PIERRE WHATLEY FOR CONGRESS
finance/Democrat/Robert C. White Jr.,9cfe5a2,0.0,500.0,0.0,THE CONGRESSIONAL COMMITTEE TO ELECT ROBERT WHITE 2026
finance/Democrat/Sheldon Whitehouse,0050738,3612.5,0.0,0.0,WHITEHOUSE FOR SENATE
finance/Democrat/George Whitesides,2c0f378,9826.43,7000.0,0.0,GEORGE WHITESIDES FOR CONGRESS
finance/Democrat/Scott Wiener,320b1d2,416380.0,7500.0,1000.0,SCOTT WIENER FOR CONGRESS
finance/Democrat/Jordan Wood,d735334,4063.0,0.0,0.0,JORDAN FOR MAINE
finance/Democrat/Eric Yonce,7f92d86,5.0,0.0,0.0,ERIC YONCE FOR US HOUSE OF REPRESENTATIVES
finance/Republican,,,,,
finance/Republican/Ashley Hinson Arenholz,033d483,0.0,1000.0,0.0,ASHLEY FOR IOWA
finance/Republican/Hon. James E. Banks,3882849,37000.0,0.0,0.0,BANKS FOR SENATE
finance/Republican/Nicholas Begich III,f39d143,500.0,0.0,0.0,ALASKANS FOR NICK BEGICH
finance/Republican/Gus M Bilirakis,14a7f32,14000.0,0.0,0.0,BILIRAKIS FOR CONGRESS
finance/Republican/Margaret Elizabeth Briem,1298f2b,0.0,520.51,0.0,BRIEM FOR CONGRESS
finance/Republican/Katie Boyd Britt,1bf18f0,502.3,0.0,0.0,BRITT FOR ALABAMA INC
finance/Republican/Shelley Moore Capito,5495f9f,14000.0,1000.0,0.0,CAPITO FOR WEST VIRGINIA
finance/Republican/William M. Cassidy,ef50b9c,7000.0,0.0,0.0,BILL CASSIDY FOR US SENATE
finance/Republican/Susan M. Collins,0868bb9,1593.06,0.0,0.0,COLLINS FOR SENATOR
finance/Republican/Sen. John Cornyn,3f9eee0,0.0,1000.0,0.0,TEXANS FOR SENATOR JOHN CORNYN INC.
finance/Republican/Eli Crane,85aa9dd,160.0,0.0,0.0,ELI CRANE FOR CONGRESS
finance/Republican/Eric Alan Rick Crawford,0f220f3,20000.0,0.0,0.0,CRAWFORD FOR CONGRESS
finance/Republican/Rafael Edward Ted Cruz,2e7df6a,260.41,0.0,0.0,TED CRUZ FOR SENATE
finance/Republican/Charles J Fleischmann,0cea768,21000.0,0.0,0.0,"CHUCK FLEISCHMANN FOR CONGRESS COMMITTEE, INC."
finance/Republican/James Gallagher,4899f8a,500.0,250.0,0.0,GALLAGHER FOR CONGRESS
finance/Republican/Ed Gallrein,0cf6469,0.0,1000.0,0.0,GALLREIN FOR CONGRESS
finance/Republican/Andrew Garbarino,4d8be09,3500.0,0.0,0.0,GARBARINO FOR CONGRESS
finance/Republican/Ernest Anthony Tony Gonzales II,8a8f44d,2000.0,0.0,0.0,TONY GONZALES FOR CONGRESS
finance/Republican/Hon. S. Brett Guthrie,8e35fae,21000.0,0.0,0.0,GUTHRIE FOR CONGRESS
finance/Republican/Bill Hagerty,88b75ce,71.5,0.0,0.0,TEAM HAGERTY
finance/Republican/Diana Harshbarger,0343622,500.0,0.0,0.0,DIANA FOR CONGRESS
finance/Republican/James Michael Johnson,3811325,519.01,0.0,0.0,MIKE JOHNSON FOR LOUISIANA
finance/Republican/Kevin Kiley,4ba00fe,100.0,0.0,0.0,KEVIN KILEY FOR CONGRESS
finance/Republican/Young Kim,5868ad8,289.36,0.0,0.0,YOUNG KIM FOR CONGRESS
finance/Republican/Doug Lamalfa,eee37f8,1000.0,0.0,0.0,DOUG LAMALFA COMMITTEE
finance/Republican/Laurel Lee,fba1a31,7000.0,0.0,0.0,"LAUREL LEE FOR CONGRESS, INC."
finance/Republican/Celeste Maloy,7f92421,21000.0,7000.0,0.0,CELESTE FOR CONGRESS
finance/Republican/Thomas H. Massie,71d4782,8825.0,0.0,250.0,THOMAS MASSIE FOR CONGRESS
finance/Republican/Brian Mast,ea76d04,7000.0,0.0,0.0,MAST FOR CONGRESS
finance/Republican/Dave Mccormick,9a00093,0.0,1800.0,0.0,FRIENDS OF DAVE MCCORMICK
finance/Republican/Ashley Moody,d31c7c5,19000.0,0.0,0.0,MOODY FOR FLORIDA
finance/Republican/Mr. John Moolenaar,993ec71,22000.0,0.0,0.0,MOOLENAAR FOR CONGRESS
finance/Republican/Nathaniel Quentin Moran,a7f9797,10771.3,0.0,0.0,NATHANIEL MORAN FOR CONGRESS
finance/Republican/Lalota Nick,63a0998,7000.0,0.0,0.0,LALOTA FOR CONGRESS
finance/Republican/Jay Obernolte,0f72616,12492.2,0.0,0.0,JAY OBERNOLTE FOR CONGRESS
finance/Republican/Ndidiamaka Okpareke,85774c2,500.0,0.0,0.0,NDIDIAMAKA OKPAREKE FOR CONGRESS
finance/Republican/Pete Ricketts,38ee3ff,2000.0,0.0,0.0,PETE RICKETTS FOR SENATE
finance/Republican/Mr. James E Risch,484ab3b,0.0,2000.0,0.0,JIM RISCH FOR U.S. SENATE COMMITTEE
finance/Republican/Mike Rounds,01b4a9a,14000.0,0.0,0.0,ROUNDS FOR SENATE
finance/Republican/Timothy E. Scott,dfed580,312.3,0.0,0.0,TIM SCOTT FOR AMERICA
finance/Republican/Tim Sheehy,c36ca50,3300.0,0.0,0.0,TIM SHEEHY FOR MONTANA
finance/Republican/Dan Sullivan,dd58a0d,21000.0,1000.0,0.0,ALASKANS FOR DAN SULLIVAN
finance/Republican/Michael Whatley,1d31490,500.0,0.0,0.0,WHATLEY FOR SENATE
finance/Independent,,,,,
finance/Independent/Todd Baker Achilles,9089c03,6000.0,0.0,0.0,TODD ACHILLES FOR IDAHO
finance/Independent/Brian Bengs,4ae230c,7250.0,0.0,0.0,BENGS FOR SOUTH DAKOTA
finance/Independent/Seth Bodnar,8931dc8,20600.0,0.0,0.0,SETH BODNAR FOR MONTANA
finance/Independent/Nicolette G. Hahn,c35a6dd,500.0,0.0,0.0,NICOLETTE HAHN NIMAN FOR CONGRESS
finance/Independent/Bill Hill,fc7395a,26209.21,0.0,0.0,BILL HILL FOR ALASKANS
finance/Independent/Mayra Macias,8e2c3a3,250.0,0.0,3089.0,MAYRA MACIAS FOR CONGRESS
finance/Independent/Nadia D Milleron,78be989,6800.0,0.0,0.0,NADIA FOR CONGRESS
finance/Independent/Dan Osborn,f046308,24605.91,1000.0,0.0,OSBORN FOR SENATE
finance/Independent/Nate Powell,b28eaf7,4545.45,0.0,0.0,POWELL FOR CONGRESS
finance/Independent/Bernard Sanders,e5cbd98,41586.0,1871.0,510.0,FRIENDS OF BERNIE SANDERS
finance/Independent/Kshama Sawant,5ac3b60,508.05,0.0,0.0,KSHAMA FOR CONGRESS
finance/Party for Socialism and Liberation,,,,,
finance/Party for Socialism and Liberation/Joseph Tache,aa981eb,910.0,0.0,0.0,JOE TACHE FOR SENATE
