Name,Geoloc,Pinned
Cascade School District,"47.6546099, -120.7725081",
Cascade School District 5,"44.79910049999999, -122.9275876",
Cascade Technology Alliance,Address not found,
Cascade Training,"38.7466283, -121.2643059",
Cascades Job Corps,"48.53162, -122.2109885",
Cascades Job Corps College,"48.53162, -122.2109885",
Cascadia College,"47.760928, -122.1913857",
CASE Collaborative,"42.464787, -71.326556",
Case Western Reserve Pre-College Program,"41.5043413, -81.6083838",
Case Western Reserve University,"41.5043413, -81.6083838",
Case Western Reserve University Medical,"41.5049514, -81.620285",
Casey College of Beauty Therapy Pty Ltd,"-38.0375921, 145.3374695",
Casey Rowley,Address not found,
Casey-Rich ESL,Address not found,
CASIE,"33.849335, -84.3064558",
CASPA Services,"-28.8048782, 153.2806396",
Cass Business School Executive Education,"51.5220735, -0.08998819999999999",
Cass Career Center,"38.6602103, -94.3336834",
Cass County Sheriff's Office Regional Training Academy,"38.6491126, -94.36818869999999",
Cassia County Joint District,"42.358036, -113.5728501",
Cassville R-IV School District,"36.6789216, -93.7841503",
CAST,"48.157507, -4.139079",
CAST STEM High School,"29.324158, -98.54352929999999",
"CAST, Inc","41.0406998, -74.08060809999999",
Castle Hill High School,"-33.726554, 150.9995421",
Castleberry ISD,"32.7759515, -97.4002872",
Caston School Corporation,"40.9397821, -86.2970998",
Castro Valley Adult and Career Education,"37.7079641, -122.0710874",
Casulo Educação,"-23.5559745, -46.6194236",
Caswell County Schools,"36.3860217, -79.29021329999999",
CAT University,Address not found,
Catalina Island Conservancy,Address not found,
Catalog OsloMet,"59.9198422, 10.7360458",
Catalog: The College of New Jersey,"40.268479, -74.77763329999999",
Catalog: Union Presbyterian Seminary,"37.5789313, -77.4492606",
Catalyst Bible College,Address not found,
Catapult Engineering Academy,Address not found,
Catasauqua Area School District,"40.6455473, -75.44612560000002",
Catawba County Schools,"35.630977, -81.1196075",
Catawba Valley Community College,"35.6998273, -81.28792709999999",
Cate School,"34.4050041, -119.4773794",
CATHEDRAL HIGH SCHOOL,"39.8520411, -86.0807787",
Cathedral Prep and Mother Teresa Academy,"42.1236204, -80.0852124",
Cathedral School & Early Childhood Center,Address not found,
Catholic Education Office - Bathurst,"-33.400733, 149.6039632",
Catholic Education Office - Cairns,"-16.9203476, 145.7709529",
Catholic Education Office - Townsville,"-19.3113514, 146.7118682",
"Catholic Education Office, Diocese of Ballarat","-37.5621587, 143.8502556",
Catholic Education Tasmania,"-42.0409059, 146.8087322",
Catholic International University,"39.2872892, -77.85921669999999",
Catholic Schools Broken Bay,"-33.5565739, 151.3326862",
CATHOLIC SCHOOLS COLLABORATIVE,"34.1164075, -118.2622291",
Catholic Schools Parramatta Diocese,"-33.8048817, 151.0062891",
Catlin Gabel,"45.509995, -122.767482",
CATS Academy Boston,"42.1723313, -71.0136958",
CATS College Cambridge,"52.1950788, 0.1312729",
Cavada Group,"43.65440299999999, -79.42358899999999",
Cavalli College,"-36.7752834, 174.7600148",
Cavendish University Uganda,"0.3012047, 32.5934857",
Cavendish University Zambia,"-15.4032725, 28.2787226",
Cayuga Centers,"42.9246669, -76.5535203",
Cayuga Community College,"42.9438003, -76.5435399",
CBA,Address not found,
colégio Brasileiro de Radiologia e Diagnóstico por Imagem,"-23.5715878, -46.6457089",
CBS Executive Fonden,"55.67770909999999, 12.522789",
CBT Technology Institute,"25.769123, -80.3290335",
CC Soundhouse,Address not found,
CCC Centro de Estudios,"40.4367364, -3.6306211",
CCC Online Education Initiative,Address not found,
CCCS,Address not found,
CCEF,"40.1003822, -75.1794437",
CCIM,Address not found,
CCRESA,"35.8828008, -78.6260963",
CCSD#2 Canvas,"43.05926480000001, -105.876004",
CDE Career Institute,"40.9179163, -74.1726001",
CEA CAPA,"33.487998, -112.0647334",
Centro de Educação a Distância do Exército ,"-22.8575111, -43.3867515",
Cebu Doctors' University,"10.3201505, 123.9330071",
Cecil College,"39.6410008, -75.95652969999999",
CED-IECA,"14.6592275, -90.5139049",
Cedar Bluffs Schools,"41.389715, -96.642433",
Cedar College,"-34.8545411, 138.6346269",
Cedar Crest College,"40.5869799, -75.5201593",
Cedar Rapids Community School District,"42.0258244, -91.714958",
Cedar Springs Public Schools,"43.22183930000001, -85.49941919999999",
Cedarburg School District,"43.3318919, -88.0314174",
Cedars International Academy,"30.3483469, -97.69539619999999",
Cedars-Sinai Medical Center,"34.0762438, -118.379936",
Cedarville University,"39.7495737, -83.8126296",
Ceeli Institute,"50.0692597, 14.4449612",
CEFS (Centro de Estudios Formativos Superiores),Address not found,
CEG,Address not found,
CEG Pathways,Address not found,
Cégep de l'Abitibi-Témiscamingue,"46.718235, -79.10011999999999",
CEHE,"42.28691999999999, 101.10745",
Celebration School of Nursing,"28.3188815, -81.5407793",
CEMCAT,"41.4291547, 2.1387563",
Cemix,Address not found,
CEMIX University,"5.6302688, -0.1453179",
Cengage | Brasil,"-14.235004, -51.92528",
Cengage | LATAM,Address not found,
Centenary College of Louisiana,"32.4847432, -93.73215560000001",
Centennial College,"43.7852043, -79.2281691",
Centennial Public Schools,"40.9232701, -97.394882",
Centennial School District,"40.1980633, -75.07279559999999",
Centennial SD,"40.1980633, -75.07279559999999",
Center 58,"38.9496682, -94.5934",
"Center Consolidated School District No. 26 Jt., Of The Count","37.7508798, -106.1138307",
Center for Action and Contemplation,"35.0694173, -106.6805528",
Center for Advanced Legal Studies,"29.7528756, -95.5587266",
Center for Allied Health Education,"40.608787, -73.9589939",
Center for Chaplaincy Studies,Address not found,
Center for Civic Education,"34.156944, -118.649251",
Center for Climate Strategies,"38.905358, -77.04293100000001",
Center for Documentary Studies at Duke University,"36.0042891, -78.91812949999999",
Center for Documentary Studies at Duke University FEES,"36.0042891, -78.91812949999999",
Center for Educational Leadership,"47.6991831, -122.3268937",
Center for Employment Training,Address not found,
Center for Excellence in Social Work,Address not found,
Center for Food and Agricultural Business - Purdue,"40.4237856, -86.91120389999999",
Center for Global Politics,"52.44920490000001, 13.2761298",
Center For Health Impact,"42.2700585, -71.8023475",
Center for Innovation in Teaching and Learning,"40.1051244, -88.23114869999999",
Center for Instructional and Behavioral Research in Schools,Address not found,
Center for Leadership and Educational Equity,"41.8146768, -71.4225754",
Center for Online & Innovative Learning,Address not found,
Center For Open Science,Address not found,
Center for Scientific Collaboration and Community Engagement,Address not found,
Center for Social Dynamics,"37.9800681, -122.0543582",
Center for Teacher Innovation,Address not found,
Center for Tech and Civic Life,Address not found,
Center for Trauma and Critical Care Education,"37.539429, -77.43054409999999",
Center for Urban Families,"39.3133981, -76.647746",
Center For Victims of Torture,Address not found,
Center for Wildlife Studies,"12.974808, 77.61626489999999",
Center Grove Community School Corporation,"39.5690866, -86.1955169",
Center of Excellence for Educator Preparation and Innovation,Address not found,
Center of Excellence Platform,Address not found,
Centerpoint School District,"34.2872143, -93.5115028",
Centerville-Abington Com Schs,Address not found,
Centinela Valley Union High School District,"33.8957573, -118.3621283",
Central,"-21.5831595, 26.0413889",
Central Arizona College,"32.9617512, -111.651563",
Central Baptist College,"35.0832302, -92.4450092",
Central Bucks SD,"40.2957225, -75.1311874",
Central Catholic High School,"45.5194437, -122.6412212",
Central Charter School,"26.1817412, -80.2052691",
Central Christian Academy,"39.73122499999999, -86.12419659999999",
Central Christian College,"38.3583827, -97.6676974",
Central Christian College,"38.3583827, -97.6676974",
Central Christian College of the Bible,"39.3962331, -92.4273436",
Central Christian University,"28.6113831, -81.4754174",
Central City Public Schools,"41.1170992, -98.09017399999999",
Central College,"41.400534, -92.9196559",
Central Community College,"40.889539, -98.372472",
Central Community School District,"42.8566075, -91.4075344",
Central Community Unit School District 301,"42.0493385, -88.547911",
Central Consolidated Schools,"36.3278259, -108.6175626",
Central Dauphin School District,"40.3416765, -76.8028933",
Central Decatur Community School District,"40.6945676, -93.7841503",
Central Fulton School District,"39.9764712, -78.0651931",
Central Georgia,"32.1574351, -82.90712300000001",
Central High School,"40.0374048, -75.15031689999999",
Central IU 10,"40.8425117, -77.7972762",
Central Lee Community School District,"40.58356750000001, -91.55961169999999",
Central Luzon State University,"15.7301769, 120.9298825",
Central Lyon Comm School District,"43.4315633, -96.19513200000002",
Central Methodist University,"39.1489094, -92.6840726",
Central Montcalm Public Schools,"43.2618619, -85.0649071",
Central New Mexico Community College,"35.0752669, -106.6279974",
Central Nine Career Center,"39.5891203, -86.0997812",
Central Noble Cmty School Dist,"41.3926825, -85.47880649999999",
Central Ohio Technical College,"40.0692803, -82.4486872",
Central Okanagan Public Schools,"49.9473663, -119.5588209",
Central Oklahoma College,"35.6214379, -97.56020120000001",
Central Oregon Community College,"44.0676288, -121.3470916",
Central Philippine University,"10.731395, 122.5469074",
Central Piedmont Community College,"35.2167312, -80.8293348",
Central Pierce Fire & Rescue,"47.15873329999999, -122.2798687",
Central Point School District #6,"42.3716208, -122.9117661",
Central Rivers AEA,"42.4746716, -92.4638916",
Central Savannah River RESA,"32.0377132, -80.85011030000001",
Central School of Practical Nursing - OH,"41.3970845, -81.65716599999999",
Central Square Schools,"43.27597280000001, -76.0391909",
Central State University,"39.7169812, -83.8774384",
Central Valley Public Schools,"41.5514378, -98.52982019999999",
Central Valley School District,"47.6426354, -117.1586062",
Central Vermont Career Center School District,"44.1894149, -72.49357359999999",
Central Washington University,"47.0073154, -120.5362805",
Central Wyoming College,"43.0304794, -108.426918",
Centralia College,"46.7161844, -122.9606849",
Centralia School District 401,Address not found,
Centre for Counselling and Psychotherapy Education,"51.52076109999999, -0.1813925",
Centre for Entertainment Arts,"51.0468909, -114.0565291",
Centre For Teaching and Learning Economics,"42.3041536, -83.0627066",
CentrePoint Academy,"38.9016027, -77.4277493",
Centrihall,Address not found,
Centriq,"38.9633727, -94.60703679999999",
Centriq Online,"38.9633727, -94.60703679999999",
CENTRO BOLIVIANO AMERICANO - Santa Cruz,"-17.7841253, -63.1780744",
Centro Colombo Americano,"4.602517199999999, -74.0677953",
Centro Cultural Costarricense-Norteamericano,Address not found,
Centro de Especialización en Data y Analítica,"32.5076992, -116.9871323",
Centro de Especialidades Médicas Veterinarias,"-34.597884, -58.404837",
Centro de Idiomas,"-13.522927, -71.9596305",
Centro Desarrollo Directivo,"43.3585922, -5.8478432",
Centro Escolar University,"14.5988806, 120.9917563",
Centro Lemann de Liderança para Equidade na Educação,"-3.6892305, -40.3483931",
Centro Politecnico del Norte,"15.5512222, -88.012455",
Centro Universitário Italo Brasileiro,"-23.6446081, -46.7201291",
CENTRO UNIVERSITÁRIO DA FUNDAÇÃO ASSIS GURGACZ,Address not found,
Centro Universitário Campos de Andrade - Uniandrade,"-25.4560393, -49.3162359",
Centro Universitário Cesmac,"-9.6563351, -35.7380026",
Centro Universitário Claretiano,"-18.2439515, -43.5971429",
Centro Universitário de Lins (UNILINS),"-21.6651306, -49.7327508",
Centro Universitário Dom Pedro II ,"-12.9716687, -38.5124825",
Centro Universitário FAM,"-23.5567447, -46.658879",
Centro Universitário Faminas,"-21.1102041, -42.3818034",
Centro Universitário Herminio Ometto (UNIARARAS),"-22.3762938, -47.3700622",
Centro Universitário INTA,"-3.6944464, -40.3443413",
Centro Universitário Opet (UniOpet),"-25.4435996, -49.2687219",
Centro Universitário Sudoeste Paulista UniFSP,"-23.079895, -48.924797",
Centro Universitario Unifacisa,"-7.2499503, -35.8702254",
CENTRO Universitário BELAS ARTES DE SAO PAULO,"-23.5557714, -46.6395571",
Centro Universitario de Ciencias Industriales,Address not found,
Centro Universitario Jorge Amado,"-12.9376671, -38.4107435",
Centro Universitario Toledo - Unitoledo,"-21.2134403, -50.4305938",
Centro Universitario UTEG,"20.7301464, -103.3883972",
CENTRUM PUCP,"-12.1051849, -76.9551242",
Centura College,"37.1405037, -76.5173518",
CEREM,"42.4978809, 19.9586179",
Cerity Partners,Address not found,
Cerner Corporation,Address not found,
CERPA Centro de Estudios,"40.3738283, -3.5274404",
Cerritos College,"33.886564, -118.0991837",
Cerro Coso Community College,"35.5674569, -117.667777",
CertiCore,"10.5131786, 7.4308829",
Certification Central,Address not found,
Certilearn,"-25.8557234, 28.1863274",
Certiprepguides,Address not found,
Certmaster,Address not found,
CES,Address not found,
CES (Cooperative Educational Services),"35.0559693, -106.5278279",
CES Online,Address not found,
CESA 4,"43.8986603, -91.0702443",
CESAR Centro de Inovação,Address not found,
Cesar Chavez Community School (Lite),"35.0595247, -106.5838318",
Cesar Chavez Public Charter Schools for Public Policy,"38.901467, -76.9488078",
CESIF,Address not found,
Cesma Business School,"40.4693062, -3.6692209",
CESMII,"34.0570794, -118.4174512",
CESPU Europa Brasil,"-8.1516558, -34.9199586",
Cessnock High School,"-32.8420876, 151.3691581",
CESUL,"-26.0815134, -53.0475749",
CESUVER,"19.1954845, -96.1319918",
CET Academic Programs,"38.9054175, -77.0405078",
CET Colsubsidio,"4.6514769, -74.0618415",
CET Cybint,Address not found,
CETEC Educacional,"-21.1474227, -48.9473029",
CFA Institute,Address not found,
CFA Institute - Learn,Address not found,
CFA Institute - Stage,Address not found,
CFCI Bible Institute,Address not found,
CFE-DM,Address not found,
CFVG - French Vietnamese School of Management,"10.7735029, 106.6774431",
CG Spectrum,"-37.8027447, 144.9852205",
CGESD,"32.9366626, -111.8091625",
CGU Extension,"34.103596, -117.7119176",
Chabot-Las Positas Community College District,"37.7037761, -121.9298513",
Chabot-Las Positas Community College District - OSHA,"37.710488, -121.8001828",
Chadron Public Schools,"42.8278486, -103.0011331",
Chadron State College,"42.8201103, -102.9965438",
Chaffey College,"34.1467226, -117.5708601",
Chaffey Joint Union High,"34.1302223, -117.5730639",
Chaffey Joint Union High - Adult School,"34.1302223, -117.5730639",
Chalkwalk,"18.5512762, 73.94223889999999",
Chalkwall,"51.5429566, 0.6759624",
Challenge Employment & Training,"-27.611091, 152.8589684",
Chalmers Tekniska Hogskola,"57.6893689, 11.9740947",
Chama Valley Schools (Lite),"36.7039756, -106.5756378",
Chamberlain CFE,"53.7638511, -0.3247228",
Chamberlain University,"41.880818, -87.64076999999999",
Chaminade College Prep,"38.6495298, -90.4067278",
Chaminade College Preparatory High School,"34.2074492, -118.6356413",
Chaminade High School,"40.7445585, -73.6495199",
Chaminade Prep School,"38.6495298, -90.4067278",
Chaminade University of Honolulu,"21.2900981, -157.8077454",
Chaminade-Madonna College Prep,"26.0150846, -80.19581939999999",
"Champaign County Regional Planning Commission, ICRT","40.1064108, -88.1866775",
Champaign Unit 4 School District,"40.1118555, -88.2655845",
Champaign/Ford Roe,"40.1560907, -88.2618806",
Champion Christian College,"34.4995269, -93.06586449999999",
Champions Fire College,Address not found,
Champions for Financial Legacy,Address not found,
Champlain College,"44.4731165, -73.2041352",
Champlain College,"44.4731165, -73.2041352",
Chance Wilson,Address not found,
Change.org,Address not found,
Channing Hall,"40.506024, -111.884589",
Chantelle Elliott,"-30.8071027, 30.4098595",
Chapel Hill - Carrboro City Schools,"35.9166515, -79.08710049999999",
Chapman Foundation,"34.6999021, -82.22028379999999",
Chapman University,"33.7943211, -117.8518422",
Chappaqua Central School District,"41.1659646, -73.7595532",
Char-Em ISD,Address not found,
Character Lab,Address not found,
ChargerHelp,"34.0218388, -118.3286815",
Chariho Regional School District,"41.4413424, -71.69106599999999",
Charles A. Jones Career and Education Center,"38.5159386, -121.4409294",
Charles City Community School District,"43.0654514, -92.6983868",
Charles City County Public Schools,"37.4018216, -77.1485163",
Charles County Public Schools,"38.5479968, -76.964306",
Charles Koch Institute,"38.8888747, -77.0847762",
Charles Schwab,Address not found,
Charleston County School District,"32.817406, -80.0534923",
Charleston Southern University,"32.9821829, -80.07065539999999",
Charlotte Catholic High School,"35.0880561, -80.8501384",
Charlotte Christian School,"35.1402033, -80.7696776",
Charlotte Country Day School,"35.1470121, -80.8022488",
Charlotte County Public Schools,"26.8946009, -81.909826",
Charlotte Mecklenburg Schools,"35.2632655, -80.8543847",
Charlotte Technical College,"27.005101, -82.147177",
Charlotte-Mecklenburg Schools 2,"35.2632655, -80.8543847",
Charlottesville City Schools,"38.0386418, -78.48087749999999",
Charter Apprenticeships,Address not found,
Charter Career Academy,"40.5790304, -111.8705757",
Charter College,Address not found,
Charter Oak Adult School,Address not found,
Charter One,"33.284793, -111.666289",
Chartered Accountants Ireland Canvas,"53.77975540000001, -7.3055309",
Charterhouse College Shenzhen,"22.5428599, 114.05956",
Charterhouse Malaysia,"3.1638488, 101.6581652",
Chas Academy,"59.2930483, 18.0813981",
CHAS Health,Address not found,
Chase County Schools,"40.5206886, -101.634921",
Chase County USD 284,"38.3007661, -96.57833869999999",
Chatham Charter School,"35.7422177, -79.47937859999999",
Chatham County,"31.9994194, -81.1196075",
Chatham University,"40.44820319999999, -79.9242853",
Chattahoochee Valley Community College,"32.4239751, -85.0300766",
Chattanooga Christian School,"35.0140547, -85.323118",
Chattanooga College Medical Dental and Technical Careers,"35.133049, -85.2376785",
Chautauqua Health Network,"42.0942304, -79.2332577",
Chawanakee Unified,"37.2280307, -119.5026096",
Chehalis School District,"46.6333279, -122.8834762",
Chelsea School District,"42.4000656, -71.0319478",
Cheltenham School District,"40.0812601, -75.1370254",
Chemeketa,"44.97944469999999, -122.978655",
Cheney Public Schools,"47.4589773, -117.6238334",
Cherokee Christian Schools,"34.11525, -84.46986",
Cherokee County School District,"34.2514526, -84.4802606",
Cherokee County Schools,"34.2514526, -84.4802606",
Cherokee Film,"36.3211764, -95.7846775",
Cherokee Film Institute,Address not found,
Cherry Creek School District,"39.6245187, -104.7754307",
Cherry Hills Christian,"39.5373419, -104.9447392",
Cherrybrook Technology High School,"-33.7198706, 151.0378992",
Chesapeake Academy,"37.65874970000001, -76.4189468",
Chesapeake Bay Academy,"36.8659934, -76.18219289999999",
Chesapeake College,"38.95210549999999, -76.08367129999999",
Chesapeake Public Schools,"36.7171342, -76.317414",
Chester Career College,"37.348819, -77.373918",
Chester County IU 24,"40.0010204, -75.8069082",
Chester International School,"53.1847113, -2.8855517",
Chester ISD,"30.9517805, -94.6037231",
Chesterfield,"53.2334883, -1.4238013",
Chesterfield BOE,"53.2334883, -1.4238013",
Chesterfield County,"37.3673217, -77.6077865",
Chesterfield County Schools,"37.3673217, -77.6077865",
Chesterton Academy of Holy Trinity,Address not found,
Chestnut Hill College,"40.0853189, -75.22877020000001",
CHET: Hispanic Center for Theological Studies,Address not found,
Chevalier College,"-34.5075233, 150.4092141",
Chevron,Address not found,
Chevron College,"52.3385517, -6.4606318",
Chewelah School District,"48.3014069, -117.6710341",
"Chi-Chack, LLC","47.2749817, -122.4660574",
Chiang Mai University,"18.8082363, 98.9546953",
Chiba Institute of Technology,"35.6887564, 140.0209939",
Chicago Jesuit Academy,"41.87727539999999, -87.75172069999999",
Chicago Public Schools,"41.8561467, -87.658113",
Chicago State University,"41.7179751, -87.60943879999999",
Chicago Teachers Union Foundation,"41.8875282, -87.67543309999999",
Chicago Theological Seminary,"41.7854913, -87.590926",
Chicago Virtual Charter School,"41.8808355, -87.6500198",
Chief Dull Knife College,"45.6255264, -106.6646575",
Child Brain Injury Trust,"51.9607634, -1.2031791",
Child Care Aware of Washington,"47.25424899999999, -122.438349",
Child Care Resource and Referral of Iowa,"41.8780025, -93.097702",
Child Mind Institute,"40.7557233, -73.9700378",
Childcare Resources,"33.4675736, -86.8342705",
Children's Wisconsin School of Radiologic Technology,"43.7844397, -88.7878678",
Children's Association For Maximum Potential,Address not found,
Children's Cove,"1.2993345, 103.8071035",
Children's Day School,"37.7641936, -122.4252775",
Children's Home Society of North Carolina,"35.7595731, -79.01929969999999",
Children's Institute,"45.5119513, -122.6762189",
Children's Reading Center Charter School,"29.6447391, -81.7038192",
Children's Village Academy,"35.2667229, -77.56714339999999",
Childrens & Academy Schools,"47.3794453, -122.2387187",
Childrens Defense Fund,"47.413959, -111.372821",
Childsplay Theatre Academy,"33.4208717, -111.9491043",
CHIM International,"40.43969939999999, -80.0017555",
Chino Valley Adult School (CVAS),"34.0175627, -117.6964123",
Chipola,"30.5051949, -85.1182532",
Chippewa Falls Area Unified School District,"44.9540709, -91.4048249",
Chippewa Valley Technical College,"44.8438147, -91.54139479999999",
Chisholm Public Schools,"36.4904602, -98.0247005",
Chisholm Trail Technology Center,"35.8421783, -98.2024993",
Chitkara University,"30.5160865, 76.6597778",
Choate Rosemary Hall,"41.4579605, -72.8111605",
Choctaw Nation of Oklahoma,"34.7432484, -95.3939551",
Choffin Career and Technical Center Adult Education,Address not found,
Choices Charter School,"38.6047631, -121.3588439",
Chorum Music Association,"40.54992560000001, 34.9537242",
Chorus America,"38.9015019, -77.02139129999999",
CHR Consulting Services,"40.1567647, -75.146873",
Christ Academy,"33.8522121, -98.5133652",
Christ Church Grammar School,"-31.986817, 115.7779188",
Christ Episcopal School,"30.4374003, -90.1436399",
Christ Exalted Seminary,"28.0720014, -82.3595562",
Christ for all Nations,Address not found,
Christ for the Nations Institute,"32.7033008, -96.82958839999999",
Christ Lutheran School,"33.4943901, -111.9973352",
Christchurch School,"37.612003, -76.54932",
Christelijke Hogeschool Ede,"52.0196502, 5.6635635",
Christelijke Hogeschool Windesheim,"52.4995074, 6.080065299999999",
Christendom College,"38.9497286, -78.146118",
Christian Academy School System,"38.1412503, -85.8360515",
Christian Brothers College High School,"38.6397652, -90.4589378",
Christian Brothers School,"29.9887138, -90.0914732",
Christian Brothers University,"35.1283444, -89.98014309999999",
Christian Brothers University- CE,"35.1283444, -89.98014309999999",
Christian County Public Schools,Address not found,
Christian Education National,"-33.6991875, 150.5662202",
Christian Life College,"38.0297878, -121.2984609",
Christian Schools Australia,"-25.274398, 133.775136",
Christopher Columbus High School,"25.7414809, -80.33841079999999",
Christopher Newport University,"37.0639589, -76.4934475",
Community High School District 117 (Illinois),"42.43663129999999, -88.0705319",
Chualar Union School District,"36.5732525, -121.4684703",
Chula Vista Elementary School District,"32.6145673, -116.9616941",
Chula Vista Learning Community Charter School,"32.6206498, -117.0833777",
Church of God Ministries,Address not found,
ChurchillCSD,"39.468267, -118.7777239",
CIEE,Address not found,
CIEE-RS,"-30.0253284, -51.2215735",
Cien Aguas International School (Lite),"35.054066, -106.6251244",
Cientifica del Sur,"-12.2218266, -76.9768969",
CIES,Address not found,
Cigna,Address not found,
CII,Address not found,
CIIT,"14.6295232, 121.0419378",
Cimarron Municipal Schools,"36.5130237, -104.9214783",
Cincinnati Children's Hospital Medical Center,"39.1414793, -84.5008278",
Cincinnati Hills Christian Academy,"39.2757934, -84.3364063",
Cincinnati Public Schools,"39.1305213, -84.5021014",
Cincinnati State Technical and Community College,"39.150693, -84.5371636",
Cincinnati Zoo,"39.1441388, -84.50848979999999",
CINECA CONSORZIO INTERUNIVERSITARIO,"41.9039968, 12.5026908",
Cintana,"33.4232165, -111.9210946",
Circle Christian School,"28.6887441, -81.23518899999999",
Circleville City Schools,"39.6079645, -82.9222401",
Circuit Stream,Address not found,
Cirencester College,"51.712203, -1.9849616",
Cirencester College - Presales,"51.712203, -1.9849616",
CIS International School of Tunis,"36.8451955, 10.2049919",
Cisco College,"32.4019284, -98.9840402",
Cisco Colombia,"4.6932577, -74.0345322",
Cisco Networking Academy,Address not found,
Cisco Systems,Address not found,
CITE,Address not found,
Citi College of Canadian Careers,"43.638141, -79.6255801",
Citizen Diplomacy International,Address not found,
Citizen Schools,"42.3573837, -71.0652563",
Citizens' High School,"30.1036576, -81.7133499",
Citrus College,"34.1333259, -117.8851136",
Citrus County Schools,"28.8800438, -82.4319405",
City & Guilds Limited,Address not found,
City Academy SLC,"40.765311, -111.8748909",
City and Guilds,Address not found,
City College,"40.8200471, -73.9492724",
City College of San Francisco,"37.72569, -122.4510797",
City College of San Francisco - Extension,"37.72569, -122.4510797",
City Colleges of Chicago - District Office,"41.8854658, -87.62661589999999",
City Guilds Ltd,Address not found,
City Harvest Church,"1.3430438, 103.6919348",
City of Glasgow College,"55.8631845, -4.244723899999999",
City of Henderson Police Department,"36.0395247, -114.9817213",
City of Hope,"34.132163, -117.9709616",
City of Midland,"31.9995797, -102.0756701",
City of Milwaukee,"43.0410344, -87.9096783",
City of Mount Vernon,"40.9125992, -73.8370786",
City of Taguig,"14.5306317, 121.0575482",
City Teaching Alliance,"39.2895207, -76.6071972",
City University of Hong Kong,"22.3370342, 114.17272",
City University of Hong Kong (Dongguan),"23.0206699, 113.75179",
City University of Hong Kong Catalog,"22.3370342, 114.17272",
"City University, School of Science and Technology",Address not found,
City View High School,"33.9552173, -98.56111419999999",
City Vision University,"39.1011, -94.56944000000001",
Civica Career & Collegiate Academy,"36.2023338, -115.1236809",
Civil Engineer Corps Officers School,Address not found,
Clackamas Education Service District,"45.4267355, -122.5635882",
Clackamas Educational Service District,"45.4267355, -122.5635882",
Claflin University,"33.4990214, -80.85421099999999",
Claiborne County School District,"31.9438205, -90.9438468",
Clairton City School District,"40.2997658, -79.8772834",
Claremont Adult School,"34.082798, -117.7163467",
Claremont Graduate University,"34.103596, -117.7119176",
Claremont Lincoln University,"34.0942631, -117.7160595",
Claremont Lincoln University Certificates,"34.0942631, -117.7160595",
Claremont McKenna College,"34.1006868, -117.7065073",
Claremont Unified School District,"34.2191964, -117.7138785",
Clarendon 02,Address not found,
Clarendon 03,Address not found,
Clarendon County School District 01,Address not found,
Clarendon County School District 04,"33.6734243, -80.1875065",
Clarion-Goldfield Community School District,"42.7370369, -93.7194406",
Clark Atlanta University,"33.7515658, -84.4112315",
Clark College,"45.6349725, -122.6517127",
Clark College Community,"45.6349725, -122.6517127",
Clark College Connect,"45.6349725, -122.6517127",
Clark County,"36.0795613, -115.094045",
Clark County School District,"36.1445776, -115.2112244",
Clark County School District - ES,"36.1445776, -115.2112244",
Clark County School District - HS,"36.1445776, -115.2112244",
Clark County School District - MS,"32.3546679, -89.3985283",
Clark Magnet High School,"34.2370719, -118.2543833",
Clark State College,"39.8957805, -83.7992192",
Clark University,"42.2520353, -71.8245381",
Clark University - Catalog,"42.2520353, -71.8245381",
Clarke County Public Schools,"39.15165830000001, -77.973865",
Clarke University,"42.5094137, -90.6914474",
Clarks Summit University,"41.4953531, -75.6856138",
Clarkson College,"41.2594162, -95.97547949999999",
Clarkson College PD,"41.2594162, -95.97547949999999",
Clarkson Public Schools,"41.7202767, -97.12378199999999",
Clarus Global Solutions,Address not found,
Classical Learning Resource Center,"48.5766713, -116.3664379",
Classical Studies of Indianapolis,"39.8088801, -86.256689",
CLASSRoad,"34.0110986, -118.4099864",
Clatskanie School District 6J,"46.0927661, -123.2246751",
Clatsop Community College,"46.1831696, -123.8243287",
Clay Community Schools,"39.4090683, -87.10237459999999",
Clayton County Public Schools,"33.5571944, -84.375233",
Clayton Municipal Schools (Lite),Address not found,
Cle Elum-Roslyn School District,"47.2705294, -120.9003723",
Clean Eye Foundation,Address not found,
Clear Creek Baptist Bible College,"36.7253013, -83.72762139999999",
Clear Creek Independent School District,"29.55224329999999, -95.1015225",
Clear Solutions Training,"53.4215212, -2.9583324",
Clearfield County CTC,"41.03079, -78.418622",
Clearwater Central Catholic High School,"27.930458, -82.7244846",
Cleary University,"42.5874302, -83.8804328",
Cleburne ISD,"32.3393952, -97.4597725",
Clemson CPE,"34.6834382, -82.8373654",
Clemson University,"34.6749926, -82.8406184",
Cleveland  Institute of Music,"41.5121156, -81.6090971",
Cleveland City School District,"35.2103297, -84.85766009999999",
Cleveland Community College,"35.2807979, -81.4922278",
Cleveland County Schools,"35.2929051, -81.5457666",
Cleveland Institute of Art,"41.5103335, -81.6022976",
Cleveland ISD,"30.31271709999999, -95.1223608",
Cleveland Metropolitan School District,"41.4787562, -81.6692532",
Cleveland State University,"41.5027643, -81.67442299999999",
Cleveland University,"41.5027643, -81.67442299999999",
Cleveland-Marshall College of Law,"41.5018749, -81.6785276",
Clever School District,"37.0118257, -93.4397386",
Climate Control Group University Digital Campus,"35.4202947, -97.6423865",
